Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5       -930mil       -810mil      27996mil      16624mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      28035mil      27703mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      36851mil      27683mil       -930mil       -810mil  T         90.00 Comment        
J2         HDR2X7               30655mil  26375.079mil      30705mil  26675.079mil      30705mil  26675.079mil  B        270.00 15-91-0140     
J1L        PESC-02-12-02-01-S-VT-LC    36175.5mil  19585.142mil    36175.5mil  19585.142mil    36025.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1K        PESC-02-12-02-01-S-VT-LC    34775.5mil  19585.142mil    34775.5mil  19585.142mil    34625.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1J        PESC-02-12-02-01-S-VT-LC    33375.5mil  19585.142mil    33375.5mil  19585.142mil    33225.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1I        PESC-02-12-02-01-S-VT-LC    31975.5mil  19585.142mil    31975.5mil  19585.142mil    31825.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1H        PESC-02-12-02-01-S-VT-LC    30575.5mil  19585.142mil    30575.5mil  19585.142mil    30425.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1G        PESC-02-12-02-01-S-VT-LC    29175.5mil  19585.142mil    29175.5mil  19585.142mil    29025.5mil  19485.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1F        PESC-02-12-02-01-S-VT-LC  36175.512mil  24836.323mil  36175.512mil  24836.323mil  36025.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1D        PESC-02-12-02-01-S-VT-LC  33375.512mil  24836.323mil  33375.512mil  24836.323mil  33225.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1C        PESC-02-12-02-01-S-VT-LC  31975.512mil  24836.323mil  31975.512mil  24836.323mil  31825.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1B        PESC-02-12-02-01-S-VT-LC  30575.512mil  24836.323mil  30575.512mil  24836.323mil  30425.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1A        PESC-02-12-02-01-S-VT-LC  29175.512mil  24836.323mil  29175.512mil  24836.323mil  29025.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
C1         2012[0805]           28977mil  26203.079mil      28977mil  26203.079mil      28977mil   26240.48mil  B        270.00 1u             
D2         SOT-353          31259.528mil  21091.165mil      31230mil  21126.598mil      31230mil  21126.598mil  B        270.00 PESD3V3L4UG    
D3         SOT-353          31259.528mil  20861.165mil      31230mil  20896.598mil      31230mil  20896.598mil  B        270.00 PESD3V3L4UG    
D4         SOT-353          31259.528mil  20976.165mil      31230mil  21011.598mil      31230mil  21011.598mil  B        270.00 PESD3V3L4UG    
D5         SOT-353          31329.528mil  20716.165mil      31300mil  20751.598mil      31300mil  20751.598mil  B        270.00 PESD3V3L4UG    
J1E        PESC-02-12-02-01-S-VT-LC  34775.512mil  24836.323mil  34775.512mil  24836.323mil  34625.512mil  24736.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
K1K        RELAY,_TYCO_RT1   34262.35mil  19575.693mil  34409.988mil  20067.819mil  34409.988mil  20067.819mil  B        270.00 Dual-Latching, 24V

