Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
C2H        SMD_0805          1649.988mil   2488.819mil   1649.988mil   2488.819mil   1694.988mil   2488.819mil  T        180.00 Cap SMD        
C2I        SMD_0805          3049.988mil   2488.819mil   3049.988mil   2488.819mil   3094.988mil   2488.819mil  T        180.00 Cap SMD        
C2J        SMD_0805          4449.988mil   2488.819mil   4449.988mil   2488.819mil   4494.988mil   2488.819mil  T        180.00 Cap SMD        
C2K        SMD_0805          5849.988mil   2488.819mil   5849.988mil   2488.819mil   5894.988mil   2488.819mil  T        180.00 Cap SMD        
C2L        SMD_0805          7249.988mil   2488.819mil   7249.988mil   2488.819mil   7294.988mil   2488.819mil  T        180.00 Cap SMD        
S1         B3U-1000P              747mil       9048mil        747mil       9048mil        818mil       9048mil  B        180.00 B3U-1000P      
S2         B3U-1000P              727mil       9652mil        727mil       9652mil        798mil       9652mil  B        180.00 B3U-1000P      
BB1        Bus_Bar_1.5"_pitch       4200mil       6950mil       7200mil       6950mil       1200mil       6950mil  B        180.00 Bus Bar        
BB2        Bus_Bar_1.5"_pitch       8300mil       4300mil       8300mil       1300mil       8300mil       7300mil  B         90.00 Bus Bar        
BB3        Bus_Bar_1.5"_pitch       4200mil       1700mil       7200mil       1700mil       1200mil       1700mil  B        180.00 Bus Bar        
BB4        Bus_Bar_1.5"_pitch       4200mil       8450mil       7200mil       8450mil       1200mil       8450mil  B        180.00 Bus Bar        
BB5        Bus_Bar_1.5"_pitch       8100mil       5800mil       8100mil       2800mil       8100mil       8800mil  B         90.00 Bus Bar        
BB6        Bus_Bar_1.5"_pitch       4200mil       3200mil       7200mil       3200mil       1200mil       3200mil  B        180.00 Bus Bar        
P3         MMCX2.54-V5           5286mil   9476.079mil       5286mil   9476.079mil       5286mil   9476.079mil  B        180.00 COAX MMCX      
U4A        SMD_SOT23_5            245mil       7850mil        245mil       7850mil        288mil       7813mil  T        270.00 100 V/V        
U4B        SMD_SOT23_5           1645mil       7850mil       1645mil       7850mil       1688mil       7813mil  T        270.00 100 V/V        
U4C        SMD_SOT23_5           3045mil       7850mil       3045mil       7850mil       3088mil       7813mil  T        270.00 100 V/V        
U4D        SMD_SOT23_5           4445mil       7850mil       4445mil       7850mil       4488mil       7813mil  T        270.00 100 V/V        
U4E        SMD_SOT23_5           5845mil       7850mil       5845mil       7850mil       5888mil       7813mil  T        270.00 100 V/V        
