Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
C23A       SMD_0805          5001.109mil    973.197mil    5001.11mil    973.197mil   5001.109mil    928.197mil  B         90.00 Cap SMD        
C22D       SMD_0805           6793.65mil   1534.198mil    6793.65mil   1534.199mil    6793.65mil   1579.198mil  B        270.00 Cap SMD        
C22C       SMD_0805          6242.471mil   1534.198mil    6242.47mil   1534.197mil   6242.471mil   1579.198mil  B        270.00 Cap SMD        
C22B       SMD_0805          5691.288mil   1534.198mil   5691.287mil   1534.197mil   5691.288mil   1579.198mil  B        270.00 Cap SMD        
C22A       SMD_0805          5140.109mil   1534.198mil    5140.11mil   1534.197mil   5140.109mil   1579.198mil  B        270.00 Cap SMD        
C21D       SMD_0805           6935.65mil   1595.198mil    6935.65mil   1595.199mil    6935.65mil   1640.198mil  B        270.00 Cap SMD        
C21C       SMD_0805          6384.471mil   1595.198mil    6384.47mil   1595.197mil   6384.471mil   1640.198mil  B        270.00 Cap SMD        
C21B       SMD_0805          5833.288mil   1595.198mil   5833.287mil   1595.197mil   5833.288mil   1640.198mil  B        270.00 Cap SMD        
C21A       SMD_0805          5282.109mil   1595.198mil    5282.11mil   1595.197mil   5282.109mil   1640.198mil  B        270.00 Cap SMD        
C20H       SMD_0805          4128.267mil   1192.999mil   4128.268mil   1192.999mil   4128.267mil   1237.999mil  B        270.00 16V            
C20G       SMD_0805          3577.084mil   1192.999mil   3577.085mil   1192.999mil   3577.084mil   1237.999mil  B        270.00 16V            
C20F       SMD_0805          3025.905mil   1192.999mil   3025.906mil   1192.999mil   3025.905mil   1237.999mil  B        270.00 16V            
C20E       SMD_0805          2474.722mil   1192.999mil   2474.722mil   1192.999mil   2474.722mil   1237.999mil  B        270.00 16V            
C20D       SMD_0805          1923.541mil   1192.999mil   1923.541mil   1192.999mil   1923.541mil   1237.999mil  B        270.00 16V            
C20C       SMD_0805           1372.36mil   1192.999mil    1372.36mil   1192.999mil    1372.36mil   1237.999mil  B        270.00 16V            
C20B       SMD_0805           821.179mil   1192.999mil    821.179mil   1192.999mil    821.179mil   1237.999mil  B        270.00 16V            
C20A       SMD_0805               270mil   1192.999mil        270mil       1193mil        270mil   1237.999mil  B        270.00 16V            
C19H       SMD_0805          4156.267mil        684mil   4156.268mil        684mil   4156.267mil        639mil  T         90.00 Cap SMD        
C19G       SMD_0805          3605.084mil        684mil   3605.085mil        684mil   3605.084mil        639mil  T         90.00 Cap SMD        
C19F       SMD_0805          3053.905mil        684mil   3053.906mil        684mil   3053.905mil        639mil  T         90.00 Cap SMD        
C19E       SMD_0805          2502.722mil        684mil   2502.723mil        684mil   2502.722mil        639mil  T         90.00 Cap SMD        
C19D       SMD_0805          1951.541mil        684mil   1951.542mil        684mil   1951.541mil        639mil  T         90.00 Cap SMD        
C19C       SMD_0805           1400.36mil        684mil   1400.361mil        684mil    1400.36mil        639mil  T         90.00 Cap SMD        
C19B       SMD_0805           849.179mil        684mil     849.18mil        684mil    849.179mil        639mil  T         90.00 Cap SMD        
C19A       SMD_0805               298mil        684mil        298mil        684mil        298mil        639mil  T         90.00 Cap SMD        
C18H       SMD_0805          4116.267mil        939mil   4116.267mil        939mil   4161.267mil        939mil  B        180.00 Cap SMD        
C18G       SMD_0805          3565.084mil        939mil   3565.084mil        939mil   3610.084mil        939mil  B        180.00 Cap SMD        
C18F       SMD_0805          3013.905mil        939mil   3013.904mil        939mil   3058.905mil        939mil  B        180.00 Cap SMD        
C18E       SMD_0805          2462.722mil        939mil   2462.722mil        939mil   2507.722mil        939mil  B        180.00 Cap SMD        
C18D       SMD_0805          1911.541mil        939mil    1911.54mil        939mil   1956.541mil        939mil  B        180.00 Cap SMD        
C18C       SMD_0805           1360.36mil        939mil    1360.36mil        939mil    1405.36mil        939mil  B        180.00 Cap SMD        
C18B       SMD_0805           809.179mil        939mil    809.178mil        939mil    854.179mil        939mil  B        180.00 Cap SMD        
C18A       SMD_0805               258mil        939mil        258mil        939mil        303mil        939mil  B        180.00 Cap SMD        
C17H       SMD_0805          4086.267mil        684mil   4086.267mil        684mil   4086.267mil        639mil  T         90.00 Cap SMD        
C17G       SMD_0805          3535.084mil        684mil   3535.084mil        684mil   3535.084mil        639mil  T         90.00 Cap SMD        
C17F       SMD_0805          2983.905mil        684mil   2983.904mil        684mil   2983.905mil        639mil  T         90.00 Cap SMD        
C17E       SMD_0805          2432.722mil        684mil   2432.721mil        684mil   2432.722mil        639mil  T         90.00 Cap SMD        
C17D       SMD_0805          1881.541mil        684mil    1881.54mil        684mil   1881.541mil        639mil  T         90.00 Cap SMD        
C17C       SMD_0805           1330.36mil        684mil   1330.359mil        684mil    1330.36mil        639mil  T         90.00 Cap SMD        
